schema,campaign,cfg_id,part,tier,bbox_dx,bbox_dy,bbox_dz,diag,volume,surface_area,sa_over_v23,n_faces,n_sharp_edges,sharp_edge_len_total,curved_frac,kappa_max_h,kappa_mean_h,thin_min_over_diag,thin_p10_over_diag,min_feature_h,n_fix_faces,n_load_faces,fix_area_frac,load_area_frac,load_dir_x,load_dir_y,load_dir_z,fix_load_dist_over_diag,load_axis_alignment,poisson,case_poisson,case_n_fix_regions,case_n_load_regions,case_load_dir_x,case_load_dir_y,case_load_dir_z,case_traction_magnitude,h,h_rel,mesher,element_tendency,skin_layers,feature_refine,bc_grading,adapt_passes,eta_target,p_elevate,adapt_leb_waves,order,status,error,mesh_ms,solve_ms,n_dof,n_elems,n_nodes,geometry_fill_volume_err,geometry_volume_err,accuracy_metric,accuracy_rel_err,accuracy_score,accuracy_trusted,accuracy_truth,accuracy_value,answers_authored_area_checked,answers_authored_area_consistent,answers_authored_area_rel_diff,answers_dominant_load_axis,answers_load_area_rel_err,answers_load_area_status,answers_load_face_area,answers_mean_u_component,answers_mean_ux,answers_mean_uz,answers_mesh_selected_area,answers_n_load_faces,answers_n_probe_nodes,answers_n_quality_excluded,answers_sigma_box_max,answers_sigma_face_mean,answers_sigma_max,answers_sigma_p99,answers_strain_energy,answers_tip_deflection,answers_tip_deflection_max,geo_fidelity_available,geo_fidelity_chamfer_mean,geo_fidelity_dist_max,geo_fidelity_dist_p95,geo_fidelity_dist_p99,geo_fidelity_n_samples,geo_fidelity_normal_angle_p95_rad,geo_fidelity_rel_volume_err,health_authored_area_consistent,health_free_residual_rel,health_load_area_ok,health_load_area_rel_err,health_load_area_status,health_load_area_verified,health_n_bc_dofs,health_n_orphans,health_ok,health_reaction_sum_err,quality_M1max,quality_M2max,quality_M6,quality_score,scorecard_accuracy_rel_err,scorecard_chordal_efficiency_max,scorecard_edge_hausdorff_over_h,scorecard_health_ok,scorecard_min_element_quality,scorecard_n_dof,scorecard_normal_dev_deg_max,scorecard_solve_residual_rel
advisor-row-v3,advisor-batch-1-s2,cfg-01545831,cantilever,0,0.990147508030268,0.09901492902954259,0.09901492902954259,1.0,0.00970732200048268,0.41176451211076937,9.04862569813391,12,12,4.752707088003867,1.0,13.597944850624165,9.602512122029948,0.11114375989376589,0.11114375989376589,0.09901473100008058,2,2,0.023809523809523815,0.023809523809523815,0.0,0.0,-1.0,0.9901473100008058,0.0,0.3,0.3,1,1,0.0,0.0,-1.0,100000.0,0.14139310240603095,0.14,graded_tet,0.75,2,True,False,0,0.0,False,2,1,ok,,248.6439,3.2173,459,64,153,0.0,0.0,tip_deflection,0.170084995926125,0.4686255273103139,True,0.00020153,0.00016725277077100803,False,True,,2,0.0,rescaled_to_exact_cad,0.010000000000000002,-0.00016694148767608654,1.2178451486078495e-19,-0.00016694148767608654,0.010000000000000002,4,9,0,0.0,194600.95291335488,4500100.41132752,2359408.0378082553,0.08347095630398324,0.00016725277077100803,0.0001674140753166843,True,2.9437251207740936e-18,1.0998209702848913e-16,2.7482108533338928e-17,1.099286438050043e-16,2046,0.0,6.938893903907227e-16,True,1.1440494383565895e-11,True,0.0,rescaled_to_exact_cad,False,27,0,True,5.628650001662378e-12,2.1094237467877974e-15,2.1094237467877974e-15,0.9756097132658255,0.9999999999999852,0.170084995926125,0.0,0.35362403928600206,True,0.9756097132658255,459,0.0,1.1440494383565895e-11
advisor-row-v3,advisor-batch-1-s2,cfg-01545831,cylinder,0,0.4082485626289818,0.4082485626289818,0.8164963087624713,1.0,0.10670711977278201,1.3081526047875172,5.8147289953776715,252,128,2.564066233879104,1.0,6.530125602441166,3.851090183569485,0.40797440369327437,0.40800709466337853,0.020031767452180396,62,62,0.09990361327600769,0.09990361327600769,0.0,0.0,1.0,0.8164954922669793,1.0,0.3,0.3,1,1,0.0,0.0,1.0,1000000.0,0.034292902122776844,0.14,graded_tet,0.75,2,True,False,0,0.0,False,2,1,ok,,517.8967,32.6045,1755,384,585,0.011946551526820823,0.011946551526820823,strain_energy,0.05811198178407167,0.7207658046120273,True,0.003926990816987241,0.0036987855981642616,True,True,0.0016081890839751423,2,0.01020224155530649,rescaled_to_exact_cad,0.007841371226364847,9.434113925983373e-07,1.3553601028502026e-09,9.434113925983373e-07,0.007761371662988643,32,45,0,0.0,1010437.0262211846,1623016.520579671,1116178.7728998798,0.0036987855981642616,9.455440063022343e-07,9.474596469966104e-07,True,0.0008344040361685787,0.002565512314652642,0.0023445103219812214,0.0023461619856105314,2910,0.00653664473688492,0.01194655152681889,True,3.3219204318849886e-14,True,0.01020224155530649,rescaled_to_exact_cad,False,207,0,True,5.800208917066583e-15,5.755828951252156e-05,0.0005560091781423948,0.23001366470828685,0.9879393515004039,0.05811198178407167,55.28110242028925,2.917380732673885,True,0.23001366470828685,1755,2.1583403122923617,3.3219204318849886e-14
advisor-row-v3,advisor-batch-1-s2,cfg-01545831,plate_hole,0,0.8935338909807741,0.4467673922568858,0.04467754340538627,1.0,0.01755525935045198,0.9181769834673668,13.593195673579082,268,138,6.101095273849238,1.0,11.218337470910596,6.662641402964555,0.04467688617850409,0.04515925790092851,0.004453894362483889,2,2,0.02173876147801478,0.02173876147801478,1.0,0.0,0.0,0.8935329974477767,1.0,0.3,0.3,1,1,1.0,0.0,0.0,1000000.0,0.03133627977923277,0.14,graded_tet,0.75,2,True,False,0,0.0,False,2,1,ok,,781.8478,10.2427,1206,216,402,0.018381646043304285,0.018381646043304285,scf,0.5935366440321581,0.14418848789100633,True,3.0,1.2193900679035257,True,True,0.0,0,2.1684043449710089e-16,rescaled_to_exact_cad,0.001,9.656201918296768e-07,9.656201918296768e-07,-1.7296564507279327e-07,0.0009999999999999998,16,27,0,0.0,1219390.0679035257,3081145213.316833,1627323.6225409883,0.0004830633214613843,9.818265892462825e-07,9.951523217754758e-07,True,0.0002415811900490531,0.022338154508300307,3.100065334465165e-17,0.01192690468159801,2780,0.0010002874219946466,0.01838164604330456,True,6.565813231528538e-14,True,2.1684043449710089e-16,rescaled_to_exact_cad,False,141,0,True,1.3987554664850369e-14,7.226150621686585e-05,0.004999961853027344,9.404741792326478e-06,0.8853709663836714,0.5935366440321581,131685727729.4804,1.3676507298100058,True,9.404741792326478e-06,1206,26.565280359737663,6.565813231528538e-14
advisor-row-v3,advisor-batch-1-s2,cfg-01545831,smoke_bar,0,0.9901471935105742,0.0990165016124412,0.0990165016124412,1.0,0.009707260330622941,0.4117627681703642,9.048625698133911,12,12,4.752697023456708,1.0,13.597973646307233,9.60253245678632,0.11114352453072072,0.11114352453072072,0.09901452132201477,2,2,0.023809523809523808,0.023809523809523808,1.0,0.0,0.0,0.9901452132201479,1.0,0.3,0.3,1,1,1.0,0.0,0.0,1000000.0,0.014139340182708389,0.14,graded_tet,0.75,2,True,False,0,0.0,False,2,1,ok,,264.4005,3.5398,459,64,153,1.6940658945086002e-16,1.6940658945086002e-16,sigma_max,0.02606685223543318,0.7932299270330584,True,1000000.0,1026066.8522354332,False,True,,0,0.0,rescaled_to_exact_cad,0.0001,4.967741420189375e-07,4.967741420189375e-07,2.1087480791936845e-19,0.0001,4,9,0,0.0,999999.9999999832,1026066.8522354332,1022021.8500619476,2.4838707100946794e-05,4.96849621872109e-07,4.968873596487362e-07,True,2.2733013430203273e-18,1.3743645810649043e-16,1.721073735657114e-17,3.87103108741554e-17,2046,0.0,6.776263578034401e-16,True,2.8888896513896224e-14,True,0.0,rescaled_to_exact_cad,False,27,0,True,1.2482469274483786e-14,8.064132208641563e-17,2.7809732887839817e-16,0.9756093277723298,0.9999999999999845,0.02606685223543318,0.0,0.353623290435767,True,0.9756093277723298,459,0.0,2.8888896513896224e-14
advisor-row-v3,advisor-batch-1-s2,cfg-01545831,sphere,0,0.5773502691896257,0.5773502691896257,0.5773502691896257,1.0,0.10051445175054087,1.0458103087223423,4.837644081436341,5858,0,0.0,1.0,25.266221831799736,3.660251258876876,0.5767054495960018,0.5772050618553425,0.0,1163,1157,0.1003006849832212,0.10029880614687482,0.0,0.0,-1.0,0.5191429920643605,0.9999999999637148,0.3,0.3,1,1,0.0,0.0,-1.0,1000000.0,0.024248759803386897,0.14,graded_tet,0.75,2,True,False,0,0.0,False,2,1,ok,,505.7545,95.7177,2469,552,823,0.014325606857556931,0.014325606857556931,strain_energy,0.010639259994267593,0.9494906125545772,True,0.00046,0.0004551059404026369,True,True,0.001660628512108904,2,0.01064126966398888,rescaled_to_exact_cad,0.0031468183498640045,-2.767560089619851e-07,3.788382563787927e-08,-2.767560089619851e-07,0.003180304492508496,45,58,0,828644.3006186046,760840.7618379326,8363539.416705302,856145.3151859891,0.0004551059404026369,2.7976515847601265e-07,3.378645942426191e-07,True,0.00121811201167042,0.003018798072628081,0.002484760720996085,0.0025715379791967073,3422,0.07597927791192019,0.014325606857554653,True,2.1327417846216817e-14,True,0.01064126966398888,rescaled_to_exact_cad,False,210,0,True,5.924286370215246e-16,6.133496539362936e-05,0.00042763082886637015,0.773307033119372,0.9866807675735628,0.010639259994267593,,0.0,True,0.773307033119372,2469,2.7317819496298408,2.1327417846216817e-14
advisor-row-v3,advisor-batch-1-s2,cfg-047ce243,cantilever,0,0.990147508030268,0.09901492902954259,0.09901492902954259,1.0,0.00970732200048268,0.41176451211076937,9.04862569813391,12,12,4.752707088003867,1.0,13.597944850624165,9.602512122029948,0.11114375989376589,0.11114375989376589,0.09901473100008058,2,2,0.023809523809523815,0.023809523809523815,0.0,0.0,-1.0,0.9901473100008058,0.0,0.3,0.3,1,1,0.0,0.0,-1.0,100000.0,0.10099507314716497,0.1,hybrid_vem,0.0,2,False,True,0,0.0,False,2,1,ok,,280.3103,3.0886,567,80,189,0.0,0.0,tip_deflection,0.12924294967560934,0.5371666506683582,True,0.00020153,0.00017548366835187445,False,True,,2,0.0,rescaled_to_exact_cad,0.010000000000000002,-0.00017515738779821227,-7.604473570905274e-20,-0.00017515738779821227,0.010000000000000002,4,9,0,0.0,188883.2519700481,4724359.770990801,2507877.8677105345,0.08757894491862521,0.00017548366835187445,0.000175652247577852,True,1.471446991566245e-18,1.0998209702848913e-16,1.3741054266669464e-17,2.7482108533338928e-17,2174,0.0,3.4694469519536137e-16,True,1.1890554628292804e-11,True,0.0,rescaled_to_exact_cad,False,27,0,True,4.0812152840128777e-13,1.942890293094024e-15,2.237726045655905e-15,0.9999999999982826,0.9999999999999787,0.12924294967560934,0.0,0.4950736550004029,True,0.9999999999982826,567,0.0,1.1890554628292804e-11
advisor-row-v3,advisor-batch-1-s2,cfg-047ce243,cylinder,0,0.4082485626289818,0.4082485626289818,0.8164963087624713,1.0,0.10670711977278201,1.3081526047875172,5.8147289953776715,252,128,2.564066233879104,1.0,6.530125602441166,3.851090183569485,0.40797440369327437,0.40800709466337853,0.020031767452180396,62,62,0.09990361327600769,0.09990361327600769,0.0,0.0,1.0,0.8164954922669793,1.0,0.3,0.3,1,1,0.0,0.0,1.0,1000000.0,0.024494930087697743,0.1,hybrid_vem,0.0,2,False,True,0,0.0,False,2,1,ok,,1305.1334,460.1782,5454,1223,1818,0.006238287579664296,0.006238287579664296,strain_energy,0.0674244008073879,0.6898949678278388,True,0.003926990816987241,0.0036622158141757614,True,True,0.0016081890839751423,2,0.036947998579977964,rescaled_to_exact_cad,0.007841371226364847,9.318336316420719e-07,-3.2296986830664255e-10,9.318336316420719e-07,0.007551648253428038,80,101,0,0.0,999619.8525455167,1706751.666065172,1031497.8541809672,0.0036622158141757614,9.33460338481674e-07,9.404715973166402e-07,True,0.0005062868072990012,0.014653215163920213,0.0009283204788605046,0.00895832286211897,3261,0.0028093439003182455,0.0062382875796600165,True,6.750260807829125e-14,True,0.036947998579977964,rescaled_to_exact_cad,False,606,0,True,2.8212479280534414e-15,6.019920383897898e-05,0.0024939886683095014,0.14142135623730895,0.9265717336832617,0.0674244008073879,114.42834757972061,4.08433302574344,True,0.14142135623730895,5454,2.620652608873887,6.750260807829125e-14
advisor-row-v3,advisor-batch-1-s2,cfg-047ce243,icecream_cone,0,0.39497665944966115,0.39497665944966115,0.8294497434926197,1.0,0.047581161625909044,0.7267509421174084,5.534718999609403,3502,63,0.21262937566767504,1.0,53.28044884637306,5.9033647615031395,0.07499051425226098,0.17832769720240874,0.0033750694550422314,166,1676,0.02715738808811381,0.2555792109982236,0.0,0.0,-1.0,0.7282778096144201,0.999999999999408,0.3,0.3,1,1,0.0,0.0,-1.0,1000000.0,0.01772261684969802,0.1,hybrid_vem,0.0,2,False,True,0,0.0,False,2,1,ok,,690.7593,64.6284,2109,436,703,0.02124812309491197,0.02124812309491197,sigma_max,64.32228668802699,0.015308710865801508,True,1000000.0,65322286.68802699,False,True,,2,0.021730255594153224,rescaled_to_exact_cad,0.0022577354269868624,-1.1869730482386345e-06,9.74466195579724e-13,-1.1869730482386345e-06,0.0023067965948792616,48,61,0,974342.2551062324,768117.4851342463,65322286.68802699,4500320.76285217,0.001350042504190471,1.1870996553284488e-06,1.2329161615031494e-06,True,0.0014897180263542813,0.006039352419276834,0.0041603179424944976,0.0050331036097342055,3358,0.15086051072598203,0.02124812309491605,True,1.420494440370456e-13,True,0.021730255594153224,rescaled_to_exact_cad,False,78,0,True,5.944716829976035e-14,0.0006473421690253456,0.0010492331395590365,0.38739384186771697,0.9472760058008078,64.32228668802699,10.318982367990309,8.300584878707213,True,0.38739384186771697,2109,26.613342146448215,1.420494440370456e-13
advisor-row-v3,advisor-batch-1-s2,cfg-047ce243,plate_hole,0,0.8935338909807741,0.4467673922568858,0.04467754340538627,1.0,0.01755525935045198,0.9181769834673668,13.593195673579082,268,138,6.101095273849238,1.0,11.218337470910596,6.662641402964555,0.04467688617850409,0.04515925790092851,0.004453894362483889,2,2,0.02173876147801478,0.02173876147801478,1.0,0.0,0.0,0.8935329974477767,1.0,0.3,0.3,1,1,1.0,0.0,0.0,1000000.0,0.022383056985166263,0.1,hybrid_vem,0.0,2,False,True,0,0.0,False,2,1,ok,,1365.5064,23.6071,1872,352,624,0.0012147456787598235,0.0012147456787598235,scf,0.5406842386367655,0.15608312795828708,True,3.0,1.3779472840897034,True,True,0.0,0,2.1684043449710089e-16,rescaled_to_exact_cad,0.001,9.363070278195782e-07,9.363070278195782e-07,-8.122562690162376e-21,0.0010000000000000002,20,33,0,1543038.8121748334,1377947.2840897033,2414081.4033162626,1539092.2767600557,0.00046825651826812716,9.372824537845084e-07,9.384996541765011e-07,True,4.8545302117465475e-05,0.008762764976757742,3.100065334465165e-17,0.0010944140265801967,3420,0.0,0.0012147456787618886,True,8.42204103499872e-14,True,2.1684043449710089e-16,rescaled_to_exact_cad,False,171,0,True,2.2958821108132302e-14,1.2430787810775723e-05,0.0019738020718107715,0.748440252071347,0.9368535639560363,0.5406842386367655,10.558245006275426,1.9856264011811777,True,0.748440252071347,1872,29.92460687047148,8.42204103499872e-14
advisor-row-v3,advisor-batch-1-s2,cfg-047ce243,smoke_bar,0,0.9901471935105742,0.0990165016124412,0.0990165016124412,1.0,0.009707260330622941,0.4117627681703642,9.048625698133911,12,12,4.752697023456708,1.0,13.597973646307233,9.60253245678632,0.11114352453072072,0.11114352453072072,0.09901452132201477,2,2,0.023809523809523808,0.023809523809523808,1.0,0.0,0.0,0.9901452132201479,1.0,0.3,0.3,1,1,1.0,0.0,0.0,1000000.0,0.010099528701934563,0.1,hybrid_vem,0.0,2,False,True,0,0.0,False,2,1,ok,,344.5844,3.0589,567,80,189,6.776263578034401e-16,6.776263578034401e-16,sigma_max,0.03356182498649647,0.7487169332263192,True,1000000.0,1033561.8249864965,False,True,,0,0.0,rescaled_to_exact_cad,0.0001,4.97199354548783e-07,4.97199354548783e-07,-1.727215617101448e-19,0.0001,4,9,0,0.0,1000000.0000000007,1033561.8249864965,1014446.590138626,2.485996772743939e-05,4.972747698626653e-07,4.973124753751896e-07,True,2.1547707117893538e-18,1.3747733015679217e-16,1.7176281459990515e-17,6.873866507839609e-17,2174,0.0,1.6940658945086003e-15,True,3.1414566339660856e-14,True,0.0,rescaled_to_exact_cad,False,27,0,True,5.0374438896009486e-15,1.2587209006814465e-16,2.9156258708196725e-16,0.9999999998282549,0.9999999999999758,0.03356182498649647,0.0,0.49507260661007385,True,0.9999999998282549,567,0.0,3.1414566339660856e-14
advisor-row-v3,advisor-batch-1-s2,cfg-047ce243,sphere,0,0.5773502691896257,0.5773502691896257,0.5773502691896257,1.0,0.10051445175054087,1.0458103087223423,4.837644081436341,5858,0,0.0,1.0,25.266221831799736,3.660251258876876,0.5767054495960018,0.5772050618553425,0.0,1163,1157,0.1003006849832212,0.10029880614687482,0.0,0.0,-1.0,0.5191429920643605,0.9999999999637148,0.3,0.3,1,1,0.0,0.0,-1.0,1000000.0,0.017320542716704926,0.1,hybrid_vem,0.0,2,False,True,0,0.0,False,2,1,ok,,998.3714,172.8619,3573,744,1191,0.010307946907577798,0.010307946907577798,strain_energy,0.037518048131126094,0.8420412746469962,True,0.00046,0.000477258302140318,True,True,0.001660628512108904,2,0.020041851257669347,rescaled_to_exact_cad,0.0031468183498640045,-2.9084927363901716e-07,-1.6285789722472597e-22,-2.9084927363901716e-07,0.0030837502845611257,60,77,0,744352.0338804194,777952.8939647796,10131746.931985019,872196.5374734927,0.000477258302140318,2.910217359848587e-07,3.49282510990379e-07,True,0.0008711342005068145,0.0019978482039753336,0.001686363819256522,0.0019321724210617586,4190,0.06875842332253981,0.010307946907579248,True,2.8350908110353482e-14,True,0.020041851257669347,rescaled_to_exact_cad,False,258,0,True,3.499547788178029e-15,6.207452437472953e-05,0.00032296757533822,0.7505095106440106,0.9856571062640682,0.037518048131126094,,0.0,True,0.7505095106440106,3573,2.649673982995928,2.8350908110353482e-14
advisor-row-v3,advisor-batch-1-s2,cfg-06177b3d,cantilever,0,0.990147508030268,0.09901492902954259,0.09901492902954259,1.0,0.00970732200048268,0.41176451211076937,9.04862569813391,12,12,4.752707088003867,1.0,13.597944850624165,9.602512122029948,0.11114375989376589,0.11114375989376589,0.09901473100008058,2,2,0.023809523809523815,0.023809523809523815,0.0,0.0,-1.0,0.9901473100008058,0.0,0.3,0.3,1,1,0.0,0.0,-1.0,100000.0,0.14139310240603095,0.14,graded_tet,0.75,2,False,True,0,0.0,False,2,1,ok,,293.3976,3.1838,459,64,153,0.0,0.0,tip_deflection,0.170084995926125,0.4686255273103139,True,0.00020153,0.00016725277077100803,False,True,,2,0.0,rescaled_to_exact_cad,0.010000000000000002,-0.00016694148767608654,1.2178451486078495e-19,-0.00016694148767608654,0.010000000000000002,4,9,0,0.0,194600.95291335488,4500100.41132752,2359408.0378082553,0.08347095630398324,0.00016725277077100803,0.0001674140753166843,True,2.9437251207740936e-18,1.0998209702848913e-16,2.7482108533338928e-17,1.099286438050043e-16,2046,0.0,6.938893903907227e-16,True,1.1440494383565895e-11,True,0.0,rescaled_to_exact_cad,False,27,0,True,5.628650001662378e-12,2.1094237467877974e-15,2.1094237467877974e-15,0.9756097132658255,0.9999999999999852,0.170084995926125,0.0,0.35362403928600206,True,0.9756097132658255,459,0.0,1.1440494383565895e-11
advisor-row-v3,advisor-batch-1-s2,cfg-06177b3d,cylinder,0,0.4082485626289818,0.4082485626289818,0.8164963087624713,1.0,0.10670711977278201,1.3081526047875172,5.8147289953776715,252,128,2.564066233879104,1.0,6.530125602441166,3.851090183569485,0.40797440369327437,0.40800709466337853,0.020031767452180396,62,62,0.09990361327600769,0.09990361327600769,0.0,0.0,1.0,0.8164954922669793,1.0,0.3,0.3,1,1,0.0,0.0,1.0,1000000.0,0.034292902122776844,0.14,graded_tet,0.75,2,False,True,0,0.0,False,2,1,ok,,601.7583,46.8882,1734,356,578,0.01194655152682027,0.01194655152682027,strain_energy,0.0578296506500083,0.7217449460693399,True,0.003926990816987241,0.003699894309935078,True,True,0.0016081890839751423,2,0.01020224155530649,rescaled_to_exact_cad,0.007841371226364847,9.436970942100297e-07,1.3737690107303881e-09,9.436970942100297e-07,0.007761371662988643,32,45,0,0.0,1010449.042028681,1616050.4807341483,1114296.820634961,0.003699894309935078,9.45829437770103e-07,9.47760751726959e-07,True,0.0008344040361685787,0.002565512314652642,0.0023445103219812214,0.0023461619856105314,2910,0.00653664473688492,0.01194655152681889,True,2.985867376577066e-14,True,0.01020224155530649,rescaled_to_exact_cad,False,207,0,True,2.8202014301810594e-15,5.755828951252156e-05,0.0005560091781423948,0.23001366470828685,0.9879393515004039,0.0578296506500083,55.28110242028925,2.917380732673885,True,0.23001366470828685,1734,2.1583403122923617,2.985867376577066e-14
advisor-row-v3,advisor-batch-1-s2,cfg-06177b3d,plate_hole,0,0.8935338909807741,0.4467673922568858,0.04467754340538627,1.0,0.01755525935045198,0.9181769834673668,13.593195673579082,268,138,6.101095273849238,1.0,11.218337470910596,6.662641402964555,0.04467688617850409,0.04515925790092851,0.004453894362483889,2,2,0.02173876147801478,0.02173876147801478,1.0,0.0,0.0,0.8935329974477767,1.0,0.3,0.3,1,1,1.0,0.0,0.0,1000000.0,0.03133627977923277,0.14,graded_tet,0.75,2,False,True,0,0.0,False,2,1,ok,,1454.0135,18.5142,1206,216,402,0.018381646043304285,0.018381646043304285,scf,0.5935366440321581,0.14418848789100633,True,3.0,1.2193900679035257,True,True,0.0,0,2.1684043449710089e-16,rescaled_to_exact_cad,0.001,9.656201918296768e-07,9.656201918296768e-07,-1.7296564507279327e-07,0.0009999999999999998,16,27,0,0.0,1219390.0679035257,3081145213.316833,1627323.6225409883,0.0004830633214613843,9.818265892462825e-07,9.951523217754758e-07,True,0.0002415811900490531,0.022338154508300307,3.100065334465165e-17,0.01192690468159801,2780,0.0010002874219946466,0.01838164604330456,True,6.565813231528538e-14,True,2.1684043449710089e-16,rescaled_to_exact_cad,False,141,0,True,1.3987554664850369e-14,7.226150621686585e-05,0.004999961853027344,9.404741792326478e-06,0.8853709663836714,0.5935366440321581,131685727729.4804,1.3676507298100058,True,9.404741792326478e-06,1206,26.565280359737663,6.565813231528538e-14
advisor-row-v3,advisor-batch-1-s2,cfg-06177b3d,smoke_bar,0,0.9901471935105742,0.0990165016124412,0.0990165016124412,1.0,0.009707260330622941,0.4117627681703642,9.048625698133911,12,12,4.752697023456708,1.0,13.597973646307233,9.60253245678632,0.11114352453072072,0.11114352453072072,0.09901452132201477,2,2,0.023809523809523808,0.023809523809523808,1.0,0.0,0.0,0.9901452132201479,1.0,0.3,0.3,1,1,1.0,0.0,0.0,1000000.0,0.014139340182708389,0.14,graded_tet,0.75,2,False,True,0,0.0,False,2,1,ok,,262.5696,9.7352,459,64,153,1.6940658945086002e-16,1.6940658945086002e-16,sigma_max,0.02606685223543318,0.7932299270330584,True,1000000.0,1026066.8522354332,False,True,,0,0.0,rescaled_to_exact_cad,0.0001,4.967741420189375e-07,4.967741420189375e-07,2.1087480791936845e-19,0.0001,4,9,0,0.0,999999.9999999832,1026066.8522354332,1022021.8500619476,2.4838707100946794e-05,4.96849621872109e-07,4.968873596487362e-07,True,2.2733013430203273e-18,1.3743645810649043e-16,1.721073735657114e-17,3.87103108741554e-17,2046,0.0,6.776263578034401e-16,True,2.8888896513896224e-14,True,0.0,rescaled_to_exact_cad,False,27,0,True,1.2482469274483786e-14,8.064132208641563e-17,2.7809732887839817e-16,0.9756093277723298,0.9999999999999845,0.02606685223543318,0.0,0.353623290435767,True,0.9756093277723298,459,0.0,2.8888896513896224e-14
advisor-row-v3,advisor-batch-1-s2,cfg-06177b3d,sphere,0,0.5773502691896257,0.5773502691896257,0.5773502691896257,1.0,0.10051445175054087,1.0458103087223423,4.837644081436341,5858,0,0.0,1.0,25.266221831799736,3.660251258876876,0.5767054495960018,0.5772050618553425,0.0,1163,1157,0.1003006849832212,0.10029880614687482,0.0,0.0,-1.0,0.5191429920643605,0.9999999999637148,0.3,0.3,1,1,0.0,0.0,-1.0,1000000.0,0.024248759803386897,0.14,graded_tet,0.75,2,False,True,0,0.0,False,2,1,ok,,778.2064,98.5221,2442,517,814,0.014325606857555895,0.014325606857555895,strain_energy,0.008738461536647863,0.9581367924611551,True,0.00046,0.000455980307693142,True,True,0.001660628512108904,2,0.01064126966398888,rescaled_to_exact_cad,0.0031468183498640045,-2.7720779332405884e-07,3.825140108278769e-08,-2.7720779332405884e-07,0.003180304492508496,45,58,0,827684.1138529794,759644.5459257035,8382746.695675716,861619.9736626473,0.000455980307693142,2.802546079962316e-07,3.3897169858079883e-07,True,0.00121811201167042,0.003018798072628081,0.002484760720996085,0.0025715379791967073,3422,0.07597927791192019,0.014325606857554653,True,2.114148359833964e-14,True,0.01064126966398888,rescaled_to_exact_cad,False,210,0,True,1.610794588629943e-15,6.133496539362936e-05,0.00042763082886637015,0.773307033119372,0.9866807675735628,0.008738461536647863,,0.0,True,0.773307033119372,2442,2.7317819496298408,2.114148359833964e-14
advisor-row-v3,advisor-batch-1-s3,cfg-069049ce,cantilever,0,0.990147508030268,0.09901492902954259,0.09901492902954259,1.0,0.00970732200048268,0.41176451211076937,9.04862569813391,12,12,4.752707088003867,1.0,13.597944850624165,9.602512122029948,0.11114375989376589,0.11114375989376589,0.09901473100008058,2,2,0.023809523809523815,0.023809523809523815,0.0,0.0,-1.0,0.9901473100008058,0.0,0.3,0.3,1,1,0.0,0.0,-1.0,100000.0,0.14139310240603095,0.14,graded_tet,-0.75,2,False,False,0,0.0,False,2,2,ok,,37.1434,5.9148,312,8,104,0.0,1.3877787807814455e-15,tip_deflection,0.020970308227451852,0.8773453212732482,True,0.00020153,0.00019730385378292163,False,True,,2,0.0,rescaled_to_exact_cad,0.010000000000000002,-0.00019675045385435553,-5.429481191900065e-19,-0.00019675045385435553,0.010000000000000002,1,4,0,0.0,85075.84072858543,5600555.424505233,125533.08341286296,0.09837522692655795,0.00019730385378292163,0.0001973038537829374,True,4.23146208971173e-18,1.1014292884294214e-16,2.832790907441121e-17,1.099418523127323e-16,1638,0.0,3.4694469519536137e-16,True,4.854603820658881e-11,True,0.0,rescaled_to_exact_cad,False,24,0,True,1.8893166327427174e-11,0.0,2.1094237467877974e-15,0.9756097132658995,0.9999999999999895,0.020970308227451852,0.0,0.0,True,0.9756097132658995,312,0.0,4.854603820658881e-11
advisor-row-v3,advisor-batch-1-s3,cfg-069049ce,cylinder,0,0.4082485626289818,0.4082485626289818,0.8164963087624713,1.0,0.10670711977278201,1.3081526047875172,5.8147289953776715,252,128,2.564066233879104,1.0,6.530125602441166,3.851090183569485,0.40797440369327437,0.40800709466337853,0.020031767452180396,62,62,0.09990361327600769,0.09990361327600769,0.0,0.0,1.0,0.8164954922669793,1.0,0.3,0.3,1,1,0.0,0.0,1.0,1000000.0,0.034292902122776844,0.14,graded_tet,-0.75,2,False,False,0,0.0,False,2,2,ok,,44.2678,53.1771,1128,54,376,0.04972520709221168,0.00020585882130800366,strain_energy,0.1626965375790863,0.4796983080187206,True,0.003926990816987241,0.004565898626015932,True,True,0.0016081890839751423,2,0.04819698554348086,rescaled_to_exact_cad,0.007841371226364847,1.1450442768761973e-06,9.850066734281454e-21,1.1450442768761973e-06,0.0074634407707266735,9,16,0,0.0,496107.863118904,167779233.76067093,1074745.9736992635,0.004565898626015932,1.1537373581712718e-06,1.2172640052523728e-06,True,0.0034009190584126815,0.010579228206861942,0.010579228206861885,0.010579228206861914,1862,0.0020951471009823617,0.04972520709221196,True,6.60611029591307e-14,True,0.04819698554348086,rescaled_to_exact_cad,False,120,0,True,4.9311414260242535e-15,7.556229258948546e-16,0.002588253128950833,0.4518339333327757,0.9460893619225893,0.1626965375790863,11.276255068053846,2.9173222821076616,True,0.4518339333327757,1128,2.8125000000001155,6.60611029591307e-14
